t,body,x,y
636060,Earth,1.48407e+11,1.89002e+10
636060,Moon,1.48362e+11,1.92764e+10
642060,Sun,3710.86,158.29
642060,Earth,1.48384e+11,1.90776e+10
642060,Moon,1.48334e+11,1.94529e+10
648060,Sun,3780.44,162.766
648060,Earth,1.48362e+11,1.92549e+10
648060,Moon,1.48305e+11,1.96292e+10
654060,Sun,3850.66,167.327
654060,Earth,1.48339e+11,1.94322e+10
654060,Moon,1.48276e+11,1.98054e+10
660060,Sun,3921.53,171.971
660060,Earth,1.48315e+11,1.96095e+10
660060,Moon,1.48246e+11,1.99815e+10
666060,Sun,3993.05,176.701
666060,Earth,1.48292e+11,1.97868e+10
666060,Moon,1.48217e+11,2.01574e+10
672060,Sun,4065.2,181.516
672060,Earth,1.48268e+11,1.9964e+10
672060,Moon,1.48187e+11,2.03332e+10
678060,Sun,4138,186.419
678060,Earth,1.48244e+11,2.01413e+10
678060,Moon,1.48157e+11,2.05089e+10
684060,Sun,4211.45,191.408
684060,Earth,1.4822e+11,2.03184e+10
684060,Moon,1.48127e+11,2.06844e+10
690060,Sun,4285.53,196.486
690060,Earth,1.48196e+11,2.04956e+10
690060,Moon,1.48097e+11,2.08599e+10
696060,Sun,4360.26,201.652
696060,Earth,1.48171e+11,2.06727e+10
696060,Moon,1.48067e+11,2.10352e+10
702060,Sun,4435.63,206.909
702060,Earth,1.48147e+11,2.08498e+10
702060,Moon,1.48036e+11,2.12103e+10
708060,Sun,4511.64,212.256
708060,Earth,1.48122e+11,2.10269e+10
708060,Moon,1.48005e+11,2.13854e+10
714060,Sun,4588.3,217.694
714060,Earth,1.48097e+11,2.12039e+10
714060,Moon,1.47974e+11,2.15603e+10
720060,Sun,4665.6,223.224
720060,Earth,1.48071e+11,2.1381e+10
720060,Moon,1.47943e+11,2.17351e+10
726060,Sun,4743.54,228.846
726060,Earth,1.48046e+11,2.15579e+10
726060,Moon,1.47912e+11,2.19098e+10
732060,Sun,4822.12,234.563
732060,Earth,1.4802e+11,2.17349e+10
732060,Moon,1.47881e+11,2.20843e+10
738060,Sun,4901.35,240.373
738060,Earth,1.47994e+11,2.19118e+10
738060,Moon,1.47849e+11,2.22587e+10
744060,Sun,4981.22,246.279
744060,Earth,1.47968e+11,2.20887e+10
744060,Moon,1.47817e+11,2.2433e+10
750060,Sun,5061.73,252.281
750060,Earth,1.47941e+11,2.22656e+10
750060,Moon,1.47785e+11,2.26072e+10
756060,Sun,5142.88,258.379
756060,Earth,1.47915e+11,2.24424e+10
756060,Moon,1.47753e+11,2.27812e+10
762060,Sun,5224.67,264.574
762060,Earth,1.47888e+11,2.26192e+10
762060,Moon,1.47721e+11,2.29551e+10
768060,Sun,5307.1,270.868
768060,Earth,1.47861e+11,2.2796e+10
768060,Moon,1.47688e+11,2.31289e+10
774060,Sun,5390.18,277.26
774060,Earth,1.47833e+11,2.29727e+10
774060,Moon,1.47655e+11,2.33026e+10
780060,Sun,5473.9,283.753
780060,Earth,1.47806e+11,2.31495e+10
780060,Moon,1.47623e+11,2.34761e+10
786060,Sun,5558.25,290.345
786060,Earth,1.47778e+11,2.33261e+10
786060,Moon,1.4759e+11,2.36496e+10
792060,Sun,5643.25,297.039
792060,Earth,1.4775e+11,2.35028e+10
